emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,purpose,interest_payments,loan_condition,interest_rate,grade,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
5.0,RENT,Low,30000,12500, 60 months,debt_consolidation,High,Bad Loan,17.27,D,13.16,5577.75,2812.82,22.5,223.11,cannught
4.0,RENT,Low,44544,16425, 36 months,debt_consolidation,High,Good Loan,14.27,C,22.71,18172.71,16425.0,0.0,563.53,ulster
4.0,RENT,Low,75000,8200, 60 months,small_business,High,Bad Loan,21.28,F,12.48,4173.57,1525.83,381.89,223.14,ulster
2.0,OWN,Low,61000,15000, 36 months,credit_card,High,Good Loan,14.65,C,11.88,18562.400419999998,15000.0,0.0,517.42,leinster
5.0,MORTGAGE,Low,44000,20975, 60 months,credit_card,High,Good Loan,17.58,D,18.79,18097.34458,13575.0,0.0,341.63,leinster
5.0,RENT,Low,75000,6400, 36 months,debt_consolidation,High,Bad Loan,16.77,D,20.22,4776.45,3334.25,10.29,227.45,ulster
1.0,RENT,Low,33600,3000, 36 months,debt_consolidation,High,Good Loan,13.49,C,18.11,3246.8,3000.0,0.0,101.8,leinster
3.0,RENT,Low,50000,12000, 36 months,credit_card,High,Good Loan,16.77,D,20.57,15346.466869999998,12000.0,0.0,426.47,Northern-Irl
0.5,OWN,Medium,150000,14400, 36 months,debt_consolidation,Low,Good Loan,8.9,A,14.85,16459.51914,14400.0,0.0,457.25,Northern-Irl
10.0,RENT,Low,90000,12000, 36 months,debt_consolidation,High,Good Loan,14.65,C,16.56,12699.48,12000.0,0.0,413.94,Northern-Irl
10.0,MORTGAGE,Low,48000,11000, 36 months,debt_consolidation,High,Good Loan,13.49,C,21.82,13413.21605,11000.0,0.0,373.24,munster
0.5,RENT,Low,75000,7250, 60 months,debt_consolidation,High,Good Loan,21.67,F,24.82,8201.53,7200.0,0.0,197.51,ulster
1.0,MORTGAGE,Low,52000,15000, 36 months,small_business,Low,Good Loan,7.9,A,9.65,15557.64,15000.0,0.0,469.36,munster
10.0,MORTGAGE,Low,65000,18000, 60 months,debt_consolidation,High,Good Loan,19.91,E,6.81,26027.53964,18000.0,0.0,475.99,leinster
3.0,MORTGAGE,Medium,150000,35000, 60 months,home_improvement,High,Good Loan,17.27,D,7.51,28871.92,22075.0,0.0,551.84,Northern-Irl
2.0,RENT,Low,68000,10000, 36 months,credit_card,High,Good Loan,14.27,C,15.39,10671.62,10000.0,0.0,343.09,Northern-Irl
6.0,RENT,Low,42000,11800, 36 months,credit_card,Low,Good Loan,12.69,B,9.86,14243.15837,11800.0,0.0,395.83,Northern-Irl
4.0,RENT,Low,53000,4500, 36 months,major_purchase,Low,Good Loan,6.03,A,4.44,4930.30217,4500.0,0.0,136.96,ulster
10.0,RENT,Low,35000,7000, 36 months,credit_card,Low,Good Loan,12.69,B,11.35,8449.394742,7000.0,0.0,234.82,ulster
2.0,RENT,Low,60000,9200, 36 months,debt_consolidation,Low,Good Loan,12.42,B,19.96,10480.84,9200.0,0.0,307.43,ulster
4.0,RENT,Low,28000,14000, 60 months,other,High,Good Loan,17.27,D,6.34,16777.04,10157.6,0.0,349.98,ulster
0.5,MORTGAGE,Low,42000,4500, 60 months,car,Low,Good Loan,10.65,B,5.4,4907.8,4500.0,0.0,97.06,munster
9.0,RENT,Low,88365,12000, 36 months,debt_consolidation,High,Good Loan,16.29,D,16.85,14685.36,12000.0,0.0,423.61,munster
4.0,RENT,Low,72000,12000, 36 months,debt_consolidation,High,Good Loan,13.49,C,21.33,13985.67622,12000.0,0.0,407.17,ulster
0.5,RENT,Low,62000,12000, 36 months,credit_card,Low,Good Loan,10.65,B,23.94,12779.62,12000.0,0.0,390.88,munster
3.0,MORTGAGE,Low,43680,7000, 36 months,credit_card,Low,Good Loan,10.65,B,5.38,7687.73,7000.0,0.0,228.02,cannught
3.0,RENT,Medium,120000,8200, 60 months,debt_consolidation,High,Good Loan,19.42,E,2.8,11894.8952,8200.0,0.0,214.62,Northern-Irl
10.0,RENT,Low,66000,10500, 36 months,medical,Low,Good Loan,12.69,B,20.73,11232.14,10500.0,0.0,352.23,ulster
4.0,OWN,Low,39120,7000, 36 months,debt_consolidation,Low,Good Loan,11.71,B,21.01,7932.3,7000.0,0.0,231.54,leinster
6.0,RENT,Low,85000,15300, 60 months,credit_card,High,Good Loan,22.06,F,20.58,20295.8,10776.09,0.0,423.1,leinster
4.0,MORTGAGE,Low,47800,20000, 60 months,debt_consolidation,Low,Good Loan,11.71,B,10.04,15161.27,12800.0,0.0,282.86,leinster
7.0,MORTGAGE,Low,45000,17500, 60 months,credit_card,High,Bad Loan,17.27,D,21.31,10037.1,3077.85,3486.0,437.47,ulster
10.0,MORTGAGE,Low,83000,3500, 36 months,car,Low,Good Loan,6.03,A,2.31,3834.66085,3500.0,0.0,106.53,cannught
0.5,RENT,Low,81000,6000, 60 months,major_purchase,Low,Good Loan,12.69,B,13.66,6495.11,4472.4,0.0,135.57,ulster
2.0,RENT,Low,25000,6200, 36 months,debt_consolidation,Low,Bad Loan,9.91,B,20.64,2452.22,1700.79,258.27,199.8,ulster
7.0,RENT,Low,65000,16000, 60 months,debt_consolidation,High,Good Loan,17.58,D,15.56,19297.95,11584.03,0.0,402.65,cannught
8.0,OWN,Low,28800,6000, 36 months,debt_consolidation,Low,Good Loan,8.9,A,13.17,6857.167486,6000.0,0.0,190.52,Northern-Irl
6.0,RENT,Medium,135000,7200, 36 months,credit_card,Low,Good Loan,9.91,B,6.12,8350.844344,7200.0,0.0,232.02,Northern-Irl
7.0,MORTGAGE,Low,50000,9500, 36 months,credit_card,Low,Good Loan,8.9,A,8.18,10493.71,9500.0,0.0,301.66,munster
10.0,RENT,Low,38000,18825, 60 months,debt_consolidation,High,Bad Loan,16.77,D,23.18,18218.25,8087.75,3343.79,465.53,munster
10.0,RENT,Low,45000,24000, 36 months,debt_consolidation,Low,Good Loan,10.65,B,14.8,28140.929360000002,24000.0,0.0,781.76,ulster
10.0,RENT,Low,80000,6000, 36 months,debt_consolidation,High,Good Loan,13.49,C,11.58,7326.009787000001,6000.0,0.0,203.59,ulster
5.0,RENT,Low,50000,6000, 36 months,debt_consolidation,High,Good Loan,13.49,C,15.38,7325.544153,6000.0,0.0,203.59,munster
10.0,MORTGAGE,Low,30000,2100, 36 months,vacation,Low,Good Loan,12.42,B,19.72,2552.485243,2100.0,0.0,70.18,leinster
8.0,MORTGAGE,Medium,110000,5500, 36 months,small_business,Low,Good Loan,6.62,A,9.69,6077.8756189999995,5500.0,0.0,168.88,Northern-Irl
8.0,OWN,Low,45608,11000, 36 months,debt_consolidation,Low,Good Loan,6.62,A,20.5,12156.857320000001,11000.0,0.0,337.75,leinster
3.0,MORTGAGE,Medium,120000,26800, 60 months,debt_consolidation,High,Good Loan,20.89,F,12.15,32887.69,26800.0,0.0,723.38,leinster
5.0,MORTGAGE,Low,35000,8000, 36 months,debt_consolidation,Low,Good Loan,12.69,B,10.05,8999.1,8000.0,0.0,268.36,cannught
1.0,RENT,Low,75000,10000, 36 months,credit_card,High,Bad Loan,18.25,D,24.14,11730.6,8320.22,229.06,362.78,ulster
9.0,MORTGAGE,Low,35000,8000, 36 months,credit_card,Low,Good Loan,11.71,B,9.7,9434.776936,8000.0,0.0,264.61,ulster
6.0,RENT,Low,24000,10000, 36 months,debt_consolidation,Low,Good Loan,8.9,A,7.0,10868.92,10000.0,0.0,317.54,ulster
2.0,MORTGAGE,Medium,126000,12000, 36 months,debt_consolidation,Low,Good Loan,11.71,B,13.32,14182.29986,12000.0,0.0,396.92,cannught
1.0,RENT,Low,43000,10000, 36 months,debt_consolidation,Low,Good Loan,7.9,A,25.26,11264.00958,10000.0,0.0,312.91,ulster
1.0,RENT,Low,50000,12000, 36 months,debt_consolidation,Low,Good Loan,9.91,B,16.44,13920.02507,12000.0,0.0,386.7,ulster
10.0,MORTGAGE,Low,67000,25000, 60 months,credit_card,High,Bad Loan,13.49,C,14.15,23880.65,13833.2,2010.58,575.12,ulster
4.0,RENT,Low,45000,19750, 36 months,debt_consolidation,Low,Bad Loan,10.65,B,22.8,11930.65,8590.58,641.29,643.33,ulster
3.0,RENT,Low,31200,10000, 36 months,debt_consolidation,Low,Good Loan,9.91,B,14.81,10904.24,10000.0,0.0,322.25,Northern-Irl
4.0,RENT,Low,66000,13650, 36 months,debt_consolidation,Low,Good Loan,12.42,B,24.09,16011.18,13650.0,0.0,456.12,ulster
10.0,RENT,Low,52000,28000, 60 months,debt_consolidation,High,Bad Loan,19.91,E,20.7,12173.07,4281.54,3132.16,312.04,munster
10.0,RENT,Low,56964,18000, 36 months,debt_consolidation,Low,Good Loan,7.9,A,27.55,20275.33655,18000.0,0.0,563.23,ulster
7.0,RENT,Low,49500,2500, 36 months,debt_consolidation,High,Good Loan,14.27,C,10.33,2529.9,2500.0,0.0,85.78,leinster
10.0,RENT,Low,70000,21000, 60 months,credit_card,High,Good Loan,20.3,E,23.21,27085.42,21000.0,0.0,559.89,ulster
6.0,MORTGAGE,Medium,125000,35000, 36 months,debt_consolidation,Low,Good Loan,8.9,A,22.71,40006.54992,35000.0,0.0,1111.37,ulster
3.0,RENT,Low,33000,10000, 36 months,credit_card,Low,Good Loan,7.51,A,9.75,11027.3,10000.0,0.0,311.11,Northern-Irl
0.5,RENT,Low,30000,7000, 36 months,credit_card,Low,Good Loan,12.69,B,15.8,8452.256793,7000.0,0.0,234.82,leinster
8.0,MORTGAGE,Low,90000,24000, 36 months,home_improvement,High,Bad Loan,15.96,C,9.17,5895.68,3813.57,0.0,843.3,ulster
5.0,MORTGAGE,Low,23000,10625, 36 months,medical,Low,Good Loan,7.51,A,18.89,11841.940709999999,10625.0,0.0,330.56,ulster
2.0,RENT,Low,24000,5000, 36 months,debt_consolidation,High,Good Loan,14.65,C,18.3,5682.08,5000.0,0.0,172.48,Northern-Irl
10.0,RENT,Low,62000,8850, 36 months,credit_card,Low,Good Loan,6.62,A,17.71,9781.605755,8850.0,0.0,271.73,Northern-Irl
4.0,RENT,Low,44000,6375, 36 months,debt_consolidation,Low,Good Loan,7.51,A,4.8,6737.55,6375.0,0.0,198.34,leinster
1.0,RENT,Low,90000,6000, 36 months,credit_card,Low,Good Loan,11.71,B,2.97,7041.293751,6000.0,0.0,198.46,Northern-Irl
10.0,RENT,Low,41000,11100, 36 months,credit_card,Low,Bad Loan,6.62,A,29.85,8120.14,6516.79,626.5,340.82,Northern-Irl
2.0,MORTGAGE,Low,56000,10000, 60 months,debt_consolidation,Low,Good Loan,12.69,B,10.82,12727.42606,10000.0,0.0,225.95,ulster
5.0,MORTGAGE,Low,26500,6200, 36 months,small_business,Low,Good Loan,6.03,A,18.2,6793.070094,6200.0,0.0,188.71,leinster
1.0,RENT,Low,54000,15000, 36 months,debt_consolidation,High,Good Loan,18.64,E,19.69,19401.719380000002,15000.0,0.0,547.12,leinster
2.0,RENT,Low,53000,4200, 36 months,other,Low,Good Loan,11.71,B,16.91,5000.46251,4200.0,0.0,138.92,Northern-Irl
4.0,RENT,Low,52800,14000, 36 months,debt_consolidation,High,Good Loan,14.27,C,7.36,14487.95,14000.0,0.0,480.33,ulster
1.0,MORTGAGE,Low,38000,8875, 36 months,debt_consolidation,Low,Good Loan,7.51,A,23.53,9712.65,8875.0,0.0,276.11,leinster
7.0,RENT,Low,38000,13500, 36 months,debt_consolidation,Low,Good Loan,9.91,B,12.38,15657.939380000002,13500.0,0.0,435.04,ulster
2.0,RENT,Low,42000,12000, 36 months,debt_consolidation,Low,Bad Loan,9.91,B,7.83,11234.49,9011.72,414.89,386.7,cannught
4.0,RENT,Low,55000,16000, 60 months,debt_consolidation,High,Good Loan,19.91,E,15.8,22277.26289,16000.0,0.0,423.11,ulster
8.0,MORTGAGE,Low,60000,21600, 60 months,debt_consolidation,High,Good Loan,19.42,E,16.74,27580.75,21600.0,0.0,565.32,leinster
6.0,MORTGAGE,Low,87000,6000, 36 months,home_improvement,Low,Good Loan,10.65,B,12.86,6999.427406999999,6000.0,0.0,195.44,Northern-Irl
5.0,OWN,Low,25000,8450, 60 months,debt_consolidation,High,Good Loan,16.77,D,22.51,12188.56442,8450.0,0.0,208.97,cannught
1.0,RENT,Low,82000,20000, 60 months,credit_card,High,Good Loan,13.49,C,17.68,26397.31306,20000.0,0.0,460.1,cannught
8.0,RENT,Low,60000,10000, 36 months,debt_consolidation,Low,Bad Loan,11.71,B,22.08,6002.23,4293.91,319.46,330.76,ulster
5.0,MORTGAGE,Low,80000,12000, 36 months,credit_card,High,Good Loan,16.29,D,18.18,14946.560019999999,12000.0,0.0,423.61,leinster
10.0,RENT,Low,25000,13475, 60 months,credit_card,High,Bad Loan,13.49,C,21.89,6198.89,3516.74,0.0,309.99,ulster
5.0,RENT,Low,48000,7200, 36 months,major_purchase,Low,Good Loan,12.42,B,17.43,8677.156340000001,7200.0,0.0,240.59,cannught
1.0,MORTGAGE,Low,85000,5600, 36 months,debt_consolidation,High,Bad Loan,14.65,C,12.24,1350.86,905.39,0.0,193.17,munster
0.5,RENT,Low,57000,12000, 36 months,debt_consolidation,High,Good Loan,14.27,C,10.86,14396.58,12000.0,0.0,411.71,ulster
2.0,RENT,Low,25000,8500, 36 months,credit_card,Low,Good Loan,6.03,A,1.73,9074.73,8500.0,0.0,258.71,Northern-Irl
2.0,RENT,Low,34000,8000, 36 months,credit_card,Low,Good Loan,9.91,B,18.28,9279.812752,8000.0,0.0,257.8,Northern-Irl
10.0,RENT,Low,40000,8000, 36 months,credit_card,Low,Good Loan,12.42,B,15.0,9622.78032,8000.0,0.0,267.33,ulster
10.0,RENT,Low,42656,16000, 60 months,debt_consolidation,High,Good Loan,15.27,C,17.44,22394.08,16000.0,0.0,382.92,leinster
2.0,MORTGAGE,Low,44400,15000, 36 months,house,High,Good Loan,17.27,D,3.59,17991.53,15000.0,0.0,536.81,leinster
2.0,OWN,Low,30000,10000, 36 months,debt_consolidation,Low,Good Loan,9.91,B,11.24,11386.43022,10000.0,0.0,322.25,Northern-Irl
5.0,MORTGAGE,Low,70000,10000, 36 months,credit_card,Low,Good Loan,6.62,A,16.78,10902.91,10000.0,0.0,307.04,Northern-Irl
3.0,RENT,Low,28000,8000, 36 months,car,High,Good Loan,14.65,C,12.6,8636.82,8000.0,0.0,275.96,ulster
2.0,MORTGAGE,Low,50000,22000, 36 months,debt_consolidation,Low,Good Loan,9.91,B,13.22,25521.095719999998,22000.0,0.0,708.95,cannught
10.0,MORTGAGE,Low,94800,6000, 36 months,car,High,Good Loan,14.27,C,24.53,7215.05,6000.0,0.0,205.86,munster
10.0,OWN,Low,40000,16000, 60 months,debt_consolidation,Low,Good Loan,9.91,B,9.39,16282.75,12138.89,0.0,339.25,leinster
6.05,OWN,Low,12000,2500, 36 months,debt_consolidation,Low,Bad Loan,7.51,A,16.3,1838.88,1575.06,10.08,77.78,ulster
2.0,MORTGAGE,Low,36000,13500, 36 months,credit_card,Low,Good Loan,9.91,B,22.93,15621.26606,13500.0,0.0,435.04,leinster
2.0,RENT,High,225000,25000, 36 months,debt_consolidation,Low,Good Loan,12.42,B,8.32,30071.72882,25000.0,0.0,835.39,Northern-Irl
2.0,RENT,Low,45900,10000, 36 months,small_business,High,Good Loan,13.49,C,24.97,12174.48231,10000.0,0.0,339.31,ulster
4.0,RENT,Low,27200,2500, 36 months,debt_consolidation,High,Good Loan,13.49,C,6.44,3050.276004,2500.0,0.0,84.83,ulster
1.0,RENT,Low,42000,7325, 36 months,debt_consolidation,Low,Good Loan,12.69,B,22.57,8844.700842,7325.0,0.0,245.72,leinster
5.0,RENT,Medium,135000,4000, 36 months,credit_card,Low,Good Loan,12.42,B,12.12,4337.11,4000.0,0.0,133.67,Northern-Irl
5.0,RENT,Low,65000,10000, 36 months,small_business,High,Bad Loan,13.49,C,6.92,9270.84,6799.56,459.53,339.31,ulster
0.5,RENT,Low,24000,7750, 36 months,debt_consolidation,High,Bad Loan,17.27,D,16.1,6934.0,4935.39,11.91,277.36,cannught
6.0,RENT,Low,70000,20000, 60 months,debt_consolidation,High,Bad Loan,20.89,F,16.63,5425.96,1318.27,1073.61,539.84,leinster
10.0,RENT,Low,65000,9600, 36 months,debt_consolidation,Low,Good Loan,12.42,B,11.65,11337.71,9600.0,0.0,320.79,Northern-Irl
3.0,RENT,Low,60000,21000, 60 months,debt_consolidation,Low,Bad Loan,11.71,B,6.62,3708.24,2142.87,0.0,464.07,ulster
3.0,RENT,Low,30000,14000, 36 months,credit_card,Low,Good Loan,10.65,B,15.52,15200.08,14000.0,0.0,456.03,Northern-Irl
10.0,RENT,Low,43000,13350, 36 months,debt_consolidation,Low,Good Loan,12.42,B,20.57,16058.394419999999,13350.0,0.0,446.1,ulster
10.0,RENT,Low,42000,15000, 36 months,debt_consolidation,High,Bad Loan,16.77,D,19.63,13373.77,8365.66,1084.71,533.08,cannught
8.0,RENT,Low,75000,15000, 36 months,debt_consolidation,High,Bad Loan,17.27,D,16.03,10198.4,6944.85,15.16,536.81,ulster
10.0,MORTGAGE,Medium,129000,11000, 60 months,debt_consolidation,High,Good Loan,13.49,C,10.94,12119.38,8158.5,0.0,253.06,ulster
2.0,MORTGAGE,Medium,168000,35000, 36 months,debt_consolidation,Low,Good Loan,10.65,B,3.17,38059.76,35000.0,0.0,1140.07,munster
9.0,MORTGAGE,Low,74000,9000, 36 months,credit_card,Low,Good Loan,10.65,B,8.89,10552.7928,9000.0,0.0,293.16,cannught
7.0,MORTGAGE,Low,52000,22475, 60 months,debt_consolidation,High,Good Loan,15.27,C,15.23,25796.01,16512.33,0.0,537.87,Northern-Irl
1.0,RENT,Low,58500,16000, 36 months,debt_consolidation,Low,Bad Loan,12.69,B,20.64,12295.72,9479.47,10.47,536.72,cannught
5.0,RENT,Low,71000,13500, 36 months,debt_consolidation,Low,Good Loan,12.69,B,11.97,16301.54517,13500.0,0.0,452.86,leinster
10.0,RENT,Low,75000,24000, 36 months,debt_consolidation,Low,Good Loan,12.69,B,11.6,28978.67895,24000.0,0.0,805.08,ulster
5.0,RENT,Low,60000,12000, 36 months,credit_card,Low,Good Loan,10.65,B,10.84,14070.398640000001,12000.0,0.0,390.88,ulster
5.0,RENT,Low,87996,8400, 60 months,major_purchase,High,Good Loan,16.77,D,11.35,9940.54,6104.36,0.0,207.73,Northern-Irl
